,numPhotos,price,propertyType,size,exterior,rooms,bathrooms,province,municipality,showAddress,distance,hasVideo,status,newDevelopment,hasPlan,has3DTour,has360,floor,hasLift,hasParkingSpace,isParkingSpaceIncludedInPrice
321,28,460.0,flat,85.0,True,1,1,Toledo,Casarrubios del Monte,False,38210,False,good,False,False,False,False,1,True,True,True
322,10,460.0,flat,55.0,True,1,1,Toledo,Mocejón,True,55947,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
323,17,720.0,flat,44.0,True,1,1,Madrid,Madrid,False,3589,False,good,False,True,False,False,ss,False,unknown,unknown
324,12,750.0,flat,60.0,True,2,1,Madrid,Madrid,False,2591,False,good,False,False,False,False,unknown,False,unknown,unknown
325,5,750.0,flat,42.0,False,1,1,Madrid,Madrid,True,2762,False,good,False,False,False,False,4,True,unknown,unknown
326,15,750.0,studio,90.0,True,0,1,Madrid,Madrid,False,7228,False,good,False,False,False,False,4,True,unknown,unknown
327,16,650.0,studio,45.0,False,0,1,Madrid,Madrid,True,3807,True,good,False,True,False,False,bj,True,unknown,unknown
328,21,650.0,flat,59.0,True,1,1,Madrid,Parla,False,20637,True,good,False,False,False,False,2,True,unknown,unknown
329,61,670.0,flat,75.0,True,2,1,Madrid,Arganda,False,27056,False,good,False,False,False,False,3,True,True,True
330,17,600.0,flat,70.0,True,3,1,Segovia,San Ildefonso o la Granja,False,59919,False,good,False,False,False,False,2,False,unknown,unknown
331,16,650.0,flat,45.0,True,1,1,Madrid,Getafe,True,12383,False,newdevelopment,True,True,False,False,2,True,unknown,unknown
332,39,600.0,duplex,70.0,True,2,1,Toledo,Alameda de la Sagra,False,45419,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
333,7,750.0,flat,32.0,True,1,1,Madrid,Madrid,False,5339,False,good,False,False,False,False,2,True,unknown,unknown
334,19,725.0,flat,50.0,True,1,1,Madrid,Madrid,False,5564,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
335,17,620.0,studio,20.0,False,0,1,Madrid,Madrid,True,1893,False,good,False,False,False,False,1,True,unknown,unknown
336,51,500.0,flat,125.0,True,3,2,Segovia,El Espinar,False,56620,False,good,False,True,False,False,3,False,True,True
337,32,400.0,flat,100.0,True,3,2,Toledo,Cabañas de la Sagra,False,49933,False,good,False,True,False,False,2,True,True,True
338,17,680.0,flat,35.0,True,1,1,Madrid,Madrid,True,3308,False,good,False,False,False,False,bj,False,unknown,unknown
339,7,750.0,flat,87.0,True,3,1,Madrid,Coslada,False,12519,False,good,False,False,False,False,bj,True,unknown,unknown
340,10,350.0,flat,53.0,True,1,1,Ávila,Las Navas del Marqués,False,57144,False,good,False,False,False,False,1,True,unknown,unknown
